Antibody	Genes	CTRL_0	PBS_1	PBS_4	PBS_8	PBS_24	PBS_48	EGF_1	EGF_4	EGF_8	EGF_24	EGF_48	HGF_1	HGF_4	HGF_8	HGF_24	HGF_48	OSM_1	OSM_4	OSM_8	OSM_24	OSM_48	IFNG_1	IFNG_4	IFNG_8	IFNG_24	IFNG_48	BMP2_1	BMP2_4	BMP2_8	BMP2_24	BMP2_48	TGFB_1	TGFB_4	TGFB_8	TGFB_24	TGFB_48
14-3-3-beta-R-V	YWHAB	0.052616987	0.122484591	0.112421306	0.081005571	0.084194405	0.173909429	-0.018272374	0.017026154	-0.012815844	-0.081764962	-0.197178261	-0.038893021	0.009575639	0.014677016	-0.054752615	-0.079789287	-0.011775615	-0.028162467	-0.06543367	-0.09282565	-0.094208474	-0.003541821	0.002348421	0.006035171	-0.102955841	-0.014002406	0.025023492	-0.004835202	-0.040546542	-0.073062108	-0.12010099	-0.028028336	0.002047529	-0.020889333	-0.019666559	-0.007387033
14-3-3-zeta-R-V	YWHAZ	-0.003799264	0.007374218	0.015616446	0.013960259	0.154477776	0.153321367	-0.03583972	0.005595956	-0.039392483	-0.043174006	-0.142891306	-0.026760701	0.016990887	-0.00460572	0.027966543	0.046704732	-0.017579063	-0.01053004	-0.02941474	-0.045489878	-0.004202933	0.022651057	-0.023031462	-0.000620233	0.043500756	0.079723858	-0.009856284	0.030778954	-0.037850896	0.049143589	0.029676798	-0.058124888	-0.02947119	-0.013920988	0.187387292	0.310866429
4E-BP1-R-V	EIF4EBP1	0.044804593	0.316099459	0.150934589	0.206714986	0.258832129	0.00569695	-0.001134943	0.006183445	-0.023491115	0.121872473	0.162226178	0.019179559	0.04848519	0.052326902	0.148346144	0.074572715	-0.079891406	-0.004505883	-0.019311244	0.150415287	0.127525848	0.01293822	-0.100315775	-0.05026072	-0.068726478	0.091916218	-0.012044083	-0.008851656	-0.058793564	0.036129834	-0.153700777	-0.064117242	-0.088359514	0.009266779	-0.096756583	-6.60E-02
4E-BP1_pS65-R-V	EIF4EBP1	-0.019076495	-0.259594301	-0.164017061	-0.11177884	-0.298483181	-0.761377104	-0.03304279	-0.004597705	0.067267884	0.326206095	0.303358375	-0.019469908	-0.081581985	0.016878977	0.143193371	-0.074329453	-0.012599217	0.025858709	0.04930401	0.117715023	-0.027146759	-0.01962451	0.016011693	0.161923341	0.3489768	0.111976372	-0.024277176	-0.013188551	0.037215679	0.274166065	0.114561737	-0.006155744	0.017523841	0.222144117	0.319355866	0.383780713
53BP1-R-V	TP53BP1	-0.088195843	-0.01810873	-0.052026823	-0.040216733	0.078492386	-0.214410546	0.025645435	-0.007336499	-0.016774909	0.044044997	-0.007254326	0.04451242	-0.007545663	0.004351728	-0.028908547	0.180827598	-0.000610869	0.001209511	-0.020261935	0.049263159	0.177503193	-0.033669975	-0.042873455	0.050990979	0.156087771	0.226402761	0.011612875	-0.075945046	-0.013313607	0.136769117	0.092507503	0.009418068	-0.069824531	-0.039749262	0.034921746	0.236785696
ACC1-R-C	ACACA	0.056103637	0.250628954	0.16534423	0.01499692	-0.297755578	-0.900857511	0.015867781	0.071990936	-0.017868112	0.3817016	0.491494007	0.000927758	-0.018943487	0.025233355	0.140738401	0.159541081	0.016333304	0.043459989	0.073081965	0.265816998	0.116679868	-0.020389448	-0.006427953	-0.032638887	0.227684254	0.190046723	-0.037002438	0.011542974	-0.081886972	0.19835804	0.38639143	0.022809155	0.000514301	0.053486484	0.205787895	0.352128029
ACC_pS79-R-V	ACACA ACACB	-0.899213717	-0.277586403	-0.689958833	-0.719674212	-0.411540189	-0.326471135	0.034789021	-0.396317592	-0.372119788	-0.299879652	0.134585025	0.084472929	-0.316175326	-0.321708416	-0.013692359	0.120260097	0.207731351	-0.15685757	-0.364235272	-0.085941934	-0.162555911	0.34784778	0.114328558	0.081464519	0.182301614	0.25764781	0.286715441	-0.064233474	-0.041529377	0.285033883	0.314390311	0.368191343	0.156733634	0.091277639	0.016209018	0.419174335
ADAR1-M-V	ADAR	-0.06480792	-0.013388147	-0.139174882	-0.107639893	0.136694862	-0.038219582	0.01999735	0.012207905	0.023257783	0.098199208	0.155737381	0.013267585	0.057919749	0.04448692	0.187452829	0.196183389	-0.01091125	-0.4056043	-0.038508707	0.12972451	0.126282996	-0.04300026	-0.074556604	0.061994313	0.523198787	0.69665907	0.031028909	-0.063746854	-0.054153036	0.118362149	0.096303231	-0.012951986	-0.060679173	-0.085592486	-0.098189993	0.084964845
Akt-R-V	AKT1 AKT2 AKT3	-0.219014614	-0.10409776	-0.103297598	-0.052067041	0.077232766	-0.290264204	-0.166247541	-0.165955575	-0.0500646	0.2757971	0.344671791	-0.110293881	-0.087848169	0.020906822	0.236897706	0.365984927	-0.084310889	-0.158141121	0.011567421	0.251864274	0.478886956	-0.103445795	-0.119421051	-0.064671882	0.17425667	0.380737528	-0.109635748	-0.09269427	-0.025321863	0.21585395	0.42654298	-0.193737373	-0.158130132	0.0038733	0.25755464	0.577972208
Akt_pS473-R-V	AKT1 AKT2 AKT3	0.682241198	-0.803308994	0.08890096	-0.02651533	-0.234156489	-0.206862905	0.254002795	-0.004306673	0.178932808	0.077434772	-0.035315242	0.086127362	-0.098367146	-0.062498904	-0.297774366	-0.175538553	0.249485616	-0.17104506	-0.079975114	-0.41940298	-0.639866404	-0.041626511	-0.117403455	0.139635193	-0.15763176	0.289610859	-0.106306522	-0.371271295	-0.18698765	-0.193365056	0.132039067	-0.057605946	-0.322461061	-0.076504189	0.132314044	0.352737347
