Antibody	Genes	CTRL_0	PBS_1	PBS_4	PBS_8	PBS_24	PBS_48	EGF_1	EGF_4	EGF_8	EGF_24	EGF_48	HGF_1	HGF_4	HGF_8	HGF_24	HGF_48	OSM_1	OSM_4	OSM_8	OSM_24	OSM_48	IFNG_1	IFNG_4	IFNG_8	IFNG_24	IFNG_48	BMP2_1	BMP2_4	BMP2_8	BMP2_24	BMP2_48	TGFB_1	TGFB_4	TGFB_8	TGFB_24	TGFB_48
14-3-3-beta-R-V	YWHAB	-5.59346249687863	-4.93744287414158	-4.90491285988762	-5.70315735790856	-3.42680457623542	-3.55942894957132	-6.72534460289969	-4.87389800778740	-6.35713050452330	-4.36161423186078	-6.05827738244385	-5.08798627095151	-5.17119104882993	-6.09059118063331	-4.79712173987039	-5.40679915202777	-5.05358476304822	-4.92623058153138	-5.17477270932563	-4.29584268085321	-4.98427806753803	-5.27462157353769	-7.05838145152483	-4.04001390393191	-4.03075347903674	-4.52303592778774	-4.60632715915531	-4.05550265437488	-4.26771506023867	-5.15688522187802	-4.88152792963585	-5.06631258304415	-4.69693790024877	-4.31348131148985	-4.58528669813574	-3.96052664020281
14-3-3-zeta-R-V	YWHAZ	-6.07255933672185	-4.30767122145676	-4.61197910501140	-5.85453864080228	-4.33178536075712	-3.90417155540115	-4.02434821308411	-6.92870288612795	-5.67924233484824	-4.80757607464073	-6.54466237597334	-4.43116566789297	-5.06650673580513	-5.20473361277930	-4.09836589949525	-3.99964313560581	-5.56839778652858	-5.03737088122009	-5.87171305954908	-4.64591405547044	-7.93804973272048	-4.25313215544898	-4.73909345254726	-6.79635717937675	-5.58077819985446	-5.87896296058659	-5.95579378562407	-5.16985366023893	-5.51917601220520	-5.65840513258359	-4.68347930566836	-4.85173386977716	-4.78801404162977	-4.93443369662840	-5.49588223825125	-7.23006421835334
4E-BP1-R-V	EIF4EBP1	-3.86482383734954	-3.96827493065194	-4.08692555021769	-3.59157929464813	-4.99215249214045	-5.82005096552929	-4.34795136595974	-4.01031727483272	-5.70547464743608	-4.02094765772404	-3.54872903542231	-3.68927914560859	-4.14241985203847	-5.23803018906026	-6.36123863258232	-3.72860094459155	-6.14983116279469	-3.61358485731483	-4.82574346507091	-4.90376548433123	-2.94023823863143	-4.93797132742824	-3.76879235765587	-4.42013566645786	-3.45594835684545	-3.55176765242765	-5.17613737664526	-3.77546529958136	-7.00479921078596	-3.60789720691566	-4.11263475328605	-6.27970634724697	-4.73587402465831	-5.77339112498747	-3.84669740235843	-3.16588696831181
4E-BP1_pS65-R-V	EIF4EBP1	-3.76848040345056	-4.76028966532796	-5.60577017869393	-4.38628675150788	-4.15239057101788	-4.81937905454872	-4.58397515447996	-5.08152011985844	-5.84974285001616	-3.66559001395153	-3.10565372940023	-8.09247055304067	-4.99302693578697	-4.34154882497192	-3.36662660869244	-3.51664952563193	-4.67388862365102	-4.78868079700184	-6.06209845826826	-4.59798084918462	-3.75232254261441	-4.73465944965055	-3.99793096546384	-4.94202906711481	-4.77930477055902	-2.97867316541631	-4.25579812017816	-5.63886335750294	-4.90617951560289	-3.21298972427952	-3.32269923363721	-4.25774558956587	-5.41502235432943	-5.99257187960800	-4.73550991459071	-3.25227344774164
53BP1-R-V	TP53BP1	-5.23192956748126	-4.30775664457861	-4.45222852838139	-4.85011040452802	-3.59489008092727	-1.99434890066458	-5.01290618176762	-5.51936168308366	-5.95727824941008	-5.24809993131127	-5.97687782980147	-6.11595218662374	-6.61242698777415	-8.03046628622593	-2.54948337484844	-5.71498630674073	-5.89932543971398	-5.64663099825678	-7.82772238298045	-4.39237580098044	-4.39087437922626	-4.30406118066680	-5.88299677015837	-5.00810816281668	-5.44273504325694	-3.19613052944250	-4.46398793466899	-5.17215837800958	-5.97558669500102	-4.33212049592118	-3.70054200262917	-7.57097003775417	-5.46935207999297	-5.12872774093840	-7.35528928216715	-3.99307074044019
ACC1-R-C	ACACA	-5.62467698944698	-4.17288518944704	-5.31124536397746	-4.46287015745929	-3.73884307443538	-3.78075695878817	-6.22075809362750	-5.47701169121228	-5.08366818672765	-2.56306154480512	-2.28808473979247	-3.51834002734479	-3.73592607552350	-6.11549291712138	-2.76186393871553	-1.81267254527540	-3.95565632704796	-4.09824826934391	-4.93079446102110	-3.15152217245699	-1.67779565220307	-3.67183870590945	-4.67855521190240	-4.19657293556110	-4.22163279002416	-2.47296602638252	-4.40708592790463	-3.93410832900023	-4.83566167138991	-2.91407413697400	-2.50514183733937	-4.19178359870830	-6.89855775571511	-6.63476701447355	-3.10383241748953	-3.51038083379230
ACC_pS79-R-V	ACACA ACACB	-4.01057273633510	-6.64897008469638	-3.80464370453117	-4.72800484107114	-4.10252082418222	-3.52528691205243	-6.02478859537198	-4.44498411061698	-4.20574424016783	-3.93928530699528	-3.51908688544712	-4.50151538620304	-3.86968112880531	-5.54930823880058	-3.16260556758474	-2.35504318801714	-5.30338983595485	-4.79881814679499	-5.09816941215269	-3.95709719873900	-2.24633895537227	-4.92389372544947	-4.21709371549998	-3.89310055606234	-3.01907138575558	-1.98804580155689	-4.52397229142556	-4.37514622835268	-5.46634751101417	-2.64042637621737	-1.51277854995091	-4.24832579432879	-4.55173795608837	-4.52329459712750	-3.19328971408034	-2.43305661252493
ADAR1-M-V	ADAR	-3.78874769929916	-4.44176726331221	-4.11381117076499	-3.66158769799126	-4.04316573770788	-4.48202104978236	-5.39540554782352	-4.42143473108663	-6.70887277394087	-4.48870240416682	-4.27115742623803	-5.05947888767989	-4.79527567892530	-5.63976327025834	-3.23630071235846	-3.83110930549948	-3.97357301677848	-1.56196401702420	-5.47430472665516	-3.85800767984976	-4.15699367414330	-4.75260943191426	-3.64185464497638	-3.72356843082687	-2.72191943736831	-1.80888172984272	-4.32295836250450	-4.70882863822476	-4.03050892654823	-3.47285293193583	-3.18249653991029	-6.63627351154586	-4.58989660431871	-4.18690038637246	-3.95830984146151	-4.05613103850512
Akt-R-V	AKT1 AKT2 AKT3	-4.11554452839280	-4.11536790807648	-5.33349789618448	-3.59259122227513	-2.84406220117733	-2.52644526002391	-3.78945237587181	-6.63285282333642	-3.99683274128757	-2.72548552729685	-2.39806877320209	-4.74675042368583	-5.83036554990151	-3.33978938382232	-3.00632261134051	-3.06314619840991	-5.28694062155748	-5.89927504787715	-5.01700574049796	-2.64793919532230	-2.26415614300337	-4.41868014243437	-3.78743844838758	-3.44878806434408	-3.70555684124339	-2.31379694000298	-5.98078967087768	-3.07292145491167	-5.03753652031377	-2.68399602923657	-2.71270573227747	-5.90907396458536	-4.61104456857517	-5.23342015994197	-2.47816294247239	-3.42621613912839
Akt_pS473-R-V	AKT1 AKT2 AKT3	-3.67400619341949	-4.97639577877064	-3.72329225869379	-3.67194180519897	-3.31956454058739	-2.90658140358962	-3.05988524570929	-3.22636705183413	-3.29200545540814	-2.91171232756893	-3.72416334771451	-2.98424508943303	-3.57168140257852	-2.98728155215306	-2.65016546210805	-2.55459412369480	-5.66592313204096	-3.73561814988946	-4.20198910055018	-3.50713673972156	-2.84716616161011	-3.78300144908237	-4.11804541775235	-2.37697051247494	-4.12276126352930	-2.00368591645865	-2.90565564809694	-5.81467934683412	-3.92952577516682	-3.11814095700447	-2.12358827116888	-3.08696843492648	-4.03542810888250	-2.83811632416313	-3.93977992308275	-2.48736387344188
