Antibody	Genes	CTRL_0	PBS_1	PBS_4	PBS_8	PBS_24	PBS_48	EGF_1	EGF_4	EGF_8	EGF_24	EGF_48	HGF_1	HGF_4	HGF_8	HGF_24	HGF_48	OSM_1	OSM_4	OSM_8	OSM_24	OSM_48	IFNG_1	IFNG_4	IFNG_8	IFNG_24	IFNG_48	BMP2_1	BMP2_4	BMP2_8	BMP2_24	BMP2_48	TGFB_1	TGFB_4	TGFB_8	TGFB_24	TGFB_48
14-3-3-beta-R-V	YWHAB	-5.64607948355573	-4.99005986081867	-4.95752984656471	-5.75577434458566	-3.47942156291251	-3.61204593624841	-6.77796158957678	-4.92651499446450	-6.40974749120039	-4.41423121853787	-6.11089436912095	-5.14060325762860	-5.22380803550702	-6.14320816731040	-4.84973872654748	-5.45941613870487	-5.10620174972532	-4.97884756820848	-5.22738969600272	-4.34845966753030	-5.03689505421512	-5.32723856021479	-7.11099843820192	-4.09263089060900	-4.08337046571383	-4.57565291446484	-4.65894414583241	-4.10811964105197	-4.32033204691576	-5.20950220855511	-4.93414491631294	-5.11892956972124	-4.74955488692586	-4.36609829816694	-4.63790368481283	-4.01314362687991
14-3-3-zeta-R-V	YWHAZ	-6.06876007303387	-4.30387195776879	-4.60817984132342	-5.85073937711431	-4.32798609706914	-3.90037229171317	-4.02054894939613	-6.92490362243997	-5.67544307116027	-4.80377681095275	-6.54086311228536	-4.42736640420500	-5.06270747211716	-5.20093434909132	-4.09456663580728	-3.99584387191783	-5.56459852284060	-5.03357161753211	-5.86791379586111	-4.64211479178247	-7.93425046903252	-4.24933289176100	-4.73529418885929	-6.79255791568878	-5.57697893616649	-5.87516369689861	-5.95199452193609	-5.16605439655096	-5.51537674851722	-5.65460586889562	-4.67968004198038	-4.84793460608919	-4.78421477794180	-4.93063443294042	-5.49208297456327	-7.22626495466537
4E-BP1-R-V	EIF4EBP1	-3.90962843037057	-4.01307952367298	-4.13173014323872	-3.63638388766917	-5.03695708516148	-5.86485555855033	-4.39275595898078	-4.05512186785376	-5.75027924045711	-4.06575225074508	-3.59353362844335	-3.73408373862962	-4.18722444505951	-5.28283478208130	-6.40604322560336	-3.77340553761259	-6.19463575581573	-3.65838945033587	-4.87054805809195	-4.94857007735226	-2.98504283165246	-4.98277592044928	-3.81359695067691	-4.46494025947889	-3.50075294986649	-3.59657224544869	-5.22094196966630	-3.82026989260240	-7.04960380380700	-3.65270179993670	-4.15743934630709	-6.32451094026801	-4.78067861767934	-5.81819571800851	-3.89150199537947	-3.21069156133284
4E-BP1_pS65-R-V	EIF4EBP1	-3.74940390813804	-4.74121317001544	-5.58669368338141	-4.36721025619536	-4.13331407570536	-4.80030255923620	-4.56489865916745	-5.06244362454592	-5.83066635470364	-3.64651351863901	-3.08657723408771	-8.07339405772815	-4.97395044047445	-4.32247232965940	-3.34755011337993	-3.49757303031941	-4.65481212833850	-4.76960430168933	-6.04302196295574	-4.57890435387210	-3.73324604730189	-4.71558295433803	-3.97885447015132	-4.92295257180229	-4.76022827524651	-2.95959667010379	-4.23672162486564	-5.61978686219043	-4.88710302029037	-3.19391322896701	-3.30362273832469	-4.23866909425335	-5.39594585901691	-5.97349538429548	-4.71643341927820	-3.23319695242912
53BP1-R-V	TP53BP1	-5.14373372488493	-4.21956080198228	-4.36403268578507	-4.76191456193169	-3.50669423833094	-1.90615305806825	-4.92471033917129	-5.43116584048733	-5.86908240681375	-5.15990408871494	-5.88868198720515	-6.02775634402742	-6.52423114517782	-7.94227044362960	-2.46128753225212	-5.62679046414440	-5.81112959711766	-5.55843515566045	-7.73952654038413	-4.30417995838411	-4.30267853662993	-4.21586533807048	-5.79480092756205	-4.91991232022035	-5.35453920066062	-3.10793468684617	-4.37579209207266	-5.08396253541325	-5.88739085240470	-4.24392465332485	-3.61234616003285	-7.48277419515785	-5.38115623739665	-5.04053189834207	-7.26709343957082	-3.90487489784386
ACC1-R-C	ACACA	-5.68078062662701	-4.22898882662706	-5.36734900115748	-4.51897379463931	-3.79494671161540	-3.83686059596819	-6.27686173080751	-5.53311532839230	-5.13977182390767	-2.61916518198514	-2.34418837697249	-3.57444366452481	-3.79202971270352	-6.17159655430140	-2.81796757589555	-1.86877618245542	-4.01175996422798	-4.15435190652393	-4.98689809820112	-3.20762580963701	-1.73389928938309	-3.72794234308946	-4.73465884908242	-4.25267657274112	-4.27773642720418	-2.52906966356253	-4.46318956508465	-3.99021196618025	-4.89176530856994	-2.97017777415402	-2.56124547451939	-4.24788723588832	-6.95466139289514	-6.69087065165357	-3.15993605466955	-3.56648447097232
ACC_pS79-R-V	ACACA ACACB	-3.11135901907094	-5.74975636743222	-2.90542998726702	-3.82879112380698	-3.20330710691806	-2.62607319478827	-5.12557487810783	-3.54577039335282	-3.30653052290368	-3.04007158973112	-2.61987316818296	-3.60230166893888	-2.97046741154115	-4.65009452153642	-2.26339185032058	-1.45582947075298	-4.40417611869069	-3.89960442953084	-4.19895569488854	-3.05788348147485	-1.34712523810811	-4.02468000818531	-3.31787999823583	-2.99388683879818	-2.11985766849142	-1.08883208429273	-3.62475857416140	-3.47593251108852	-4.56713379375002	-1.74121265895321	-0.613564832686751	-3.34911207706463	-3.65252423882421	-3.62408087986334	-2.29407599681618	-1.53384289526077
ADAR1-M-V	ADAR	-3.72393977928996	-4.37695934330300	-4.04900325075578	-3.59677977798205	-3.97835781769868	-4.41721312977315	-5.33059762781431	-4.35662681107742	-6.64406485393167	-4.42389448415761	-4.20634950622882	-4.99467096767069	-4.73046775891609	-5.57495535024914	-3.17149279234925	-3.76630138549027	-3.90876509676927	-1.49715609701499	-5.40949680664596	-3.79319975984056	-4.09218575413410	-4.68780151190506	-3.57704672496717	-3.65876051081766	-2.65711151735911	-1.74407380983352	-4.25815044249530	-4.64402071821556	-3.96570100653903	-3.40804501192663	-3.11768861990108	-6.57146559153666	-4.52508868430950	-4.12209246636325	-3.89350192145231	-3.99132311849592
Akt-R-V	AKT1 AKT2 AKT3	-3.89652991403267	-3.89635329371635	-5.11448328182436	-3.37357660791500	-2.62504758681720	-2.30743064566378	-3.57043776151168	-6.41383820897629	-3.77781812692744	-2.50647091293672	-2.17905415884197	-4.52773580932570	-5.61135093554138	-3.12077476946219	-2.78730799698038	-2.84413158404978	-5.06792600719735	-5.68026043351702	-4.79799112613784	-2.42892458096217	-2.04514152864325	-4.19966552807424	-3.56842383402745	-3.22977344998395	-3.48654222688326	-2.09478232564286	-5.76177505651755	-2.85390684055154	-4.81852190595364	-2.46498141487644	-2.49369111791734	-5.69005935022523	-4.39202995421504	-5.01440554558184	-2.25914832811227	-3.20720152476826
Akt_pS473-R-V	AKT1 AKT2 AKT3	-4.35624739136744	-5.65863697671860	-4.40553345664174	-4.35418300314693	-4.00180573853535	-3.58882260153758	-3.74212644365724	-3.90860824978209	-3.97424665335609	-3.59395352551689	-4.40640454566246	-3.66648628738099	-4.25392260052647	-3.66952275010102	-3.33240666005600	-3.23683532164276	-6.34816432998891	-4.41785934783742	-4.88423029849813	-4.18937793766951	-3.52940735955807	-4.46524264703033	-4.80028661570030	-3.05921171042290	-4.80500246147726	-2.68592711440661	-3.58789684604490	-6.49692054478208	-4.61176697311478	-3.80038215495242	-2.80582946911683	-3.76920963287443	-4.71766930683046	-3.52035752211108	-4.62202112103070	-3.16960507138984
Akt_pT308-R-V	AKT1 AKT2 AKT3	-6.34739924544897	-6.08557424076617	-3.17757455296674	-6.08070854958213	-5.20922142044321	-5.80125465347135	-4.98693500833359	-4.89508310375679	-6.10680569479889	-5.20343345666695	-6.60054162078838	-5.35183780650000	-4.79936617974024	-6.72368978770739	-7.32071940537571	-2.92928904330120	-4.58023061575643	-5.27903996157835	-6.16595387995140	-6.14771250154104	-3.80962636578243	-5.72101024223589	-7.14882489899829	-5.36732588034774	-5.78771864303687	-3.92729608627044	-6.05528606626717	-6.69910943509997	-5.43985613526901	-4.96530883376970	-3.63482952564436	-5.77767923438401	-6.67949416076946	-4.85032238557198	-5.09526738054767	-5.22678824945097
AMPKa-R-C	PRKAA1	-3.42554967268830	-4.06971925751860	-4.13046579076926	-3.66360230406667	-4.11740075757160	-4.40495688888174	-3.81496844970316	-4.48260880210735	-4.43654702466090	-4.62581255992661	-3.46670146377086	-4.65050066670396	-3.80528340190764	-5.15447132825340	-5.38863462234448	-3.79749650014501	-5.44155388573249	-5.45941134999831	-4.69799158821805	-4.56608363387261	-3.73210490773337	-7.33003657410523	-4.00933754062531	-4.65418017203282	-3.19603193471351	-5.94907122190131	-5.47041845943682	-3.61949335390385	-5.63740695536924	-4.24776958990373	-5.05816347158340	-7.10668340835992	-4.65387089050638	-5.60033868605764	-3.70690029658100	-5.03887973564592
