SpeciesName	Compartment	IC	HGNC
Ribosome	Cytoplasm	1897.371866	
p53inac	Nucleus	296.618651	TP53
p53ac	Nucleus	6.24613433	TP53
MDM2	Nucleus	205.6185213	MDM2
Wip1	Nucleus	2.230730408	PPM1D 
ATMP	Nucleus	7.09E-76	ATM
ATRac	Nucleus	2.45E-108	ATR 
MDM2product1	Nucleus	6.24613433	
MDM2product2	Nucleus	6.24613433	
MDM2product3	Nucleus	6.24613433	
MDM2product4	Nucleus	6.24613433	
MDM2product5	Nucleus	6.24613433	
MDM2product6	Nucleus	6.24613433	
MDM2product7	Nucleus	6.24613433	
MDM2product8	Nucleus	6.24613433	
MDM2product9	Nucleus	6.24613433	
MDM2pro	Nucleus	6.24613433	
Wip1product1	Nucleus	6.24613433	
Wip1product2	Nucleus	6.24613433	
Wip1product3	Nucleus	6.24613433	
Wip1product4	Nucleus	6.24613433	
Wip1product5	Nucleus	6.24613433	
Wip1product6	Nucleus	6.24613433	
Wip1product7	Nucleus	6.24613433	
Wip1product8	Nucleus	6.24613433	
Wip1product9	Nucleus	6.24613433	
Wip1pro	Nucleus	6.24613433	
BRCA2	Nucleus	0.821796644	BRCA2
MSH6	Nucleus	45.50365668	MSH6
MGMT	Nucleus	120.2551816	MGMT
damageDSB	Nucleus	0.000243951	
damageSSB	Nucleus	6.05E-06	
ppAKT_MDM2	Nucleus	0	"AKT1, AKT2, MDM2"
pMDM2	Nucleus	0	MDM2
ARF	Nucleus	0	CDKN2A
MDM4	Nucleus	0.027215688	MDM4
p53ac_MDM4	Nucleus	0	"TP53, MDM4"
ATMinac	Nucleus	1.503759502	ATM
ATRinac	Nucleus	2.400324008	ATR 
pRB	Nucleus	7983.140007	RB1
pRBp	Nucleus	0.535492886	RB1
pRBpp	Nucleus	0.006971196	RB1
E2F	Nucleus	1117.207529	"E2F1, E2F2, E2F3"
Cd	Nucleus	0.233311598	"CCND1, CCND2, CCND3"
Mdi	Nucleus	0.589117168	"CCND1, CCND2, CCND3, CDK4, CDK6"
Md	Nucleus	3.85369761	"CCND1, CCND2, CCND3, CDK4, CDK6"
Mdp27	Nucleus	0.787522147	"CCND1, CCND2, CCND3, CDK4, CDK6, CDKN1B"
Ce	Nucleus	0.255339231	"CCNE1, CCNE2"
Mei	Nucleus	0.889568948	"CCNE1, CCNE2, CDK2"
Me	Nucleus	2.746655183	"CCNE1, CCNE2, CDK2"
Skp2	Nucleus	11.40896301	SKP2 
